sign,stock,fire_date,score,corr_mode,q,r_k3,mfe_03,mae_03,baseline_r,cut_θ-1,cut_θ-2,cut_θ-3,policy_r_θ-1,policy_r_θ-2,policy_r_θ-3
div_gap,8601.T,2023-09-28,0.128302,mid,Q1,-0.071264,0.007931,-0.075058,0.141128,1,1,1,-0.055172,-0.055172,-0.055172
rev_nlo,8601.T,2023-07-20,0.345100,high,Q1,0.017703,0.028378,-0.001216,0.102907,0,0,0,0.102907,0.102907,0.102907
rev_nlo,8601.T,2023-10-12,0.472789,high,Q2,-0.011973,-0.002126,-0.033792,0.103665,1,0,0,-0.028757,0.103665,0.103665
rev_nlo,8601.T,2023-11-07,0.335798,high,Q1,0.008526,0.014632,-0.043368,0.057895,0,0,0,0.057895,0.057895,0.057895
rev_nlo,8601.T,2024-04-26,0.420044,high,Q2,0.020211,0.021529,-0.019332,0.141090,0,0,0,0.141090,0.141090,0.141090
rev_nlo,8601.T,2024-08-13,0.802819,high,Q4,0.077680,0.097837,0.032940,0.063941,0,0,0,0.063941,0.063941,0.063941
rev_nlo,8601.T,2024-09-17,0.480145,high,Q2,0.025704,0.046466,0.007909,0.033680,0,0,0,0.033680,0.033680,0.033680
rev_nlo,8601.T,2024-10-09,0.362419,high,Q1,0.000477,0.013365,-0.021480,-0.003819,0,0,0,-0.003819,-0.003819,-0.003819
div_gap,8604.T,2022-10-28,0.196256,high,Q3,-0.011715,0.012971,-0.021757,0.010670,1,0,0,-0.002301,0.010670,0.010670
rev_nlo,8604.T,2022-09-14,0.344388,high,Q1,-0.007341,0.007738,-0.007937,-0.047195,0,0,0,-0.047195,-0.047195,-0.047195
rev_nlo,8604.T,2022-10-11,0.386871,high,Q1,0.004621,0.026885,-0.010082,0.016593,0,0,0,0.016593,0.016593,0.016593
div_gap,8604.T,2023-08-03,0.248022,high,Q3,-0.010159,0.022719,-0.010159,0.125898,1,0,0,-0.005726,0.125898,0.125898
div_gap,8604.T,2023-10-30,0.339193,high,Q4,0.068989,0.079043,0.017160,0.105737,0,0,0,0.105737,0.105737,0.105737
div_gap,8604.T,2024-02-01,0.383270,low,Q4,0.015975,0.035597,-0.005032,0.096575,0,0,0,0.096575,0.096575,0.096575
div_gap,8604.T,2024-03-05,0.135678,mid,Q2,-0.025094,0.042263,-0.040832,0.079787,1,1,0,-0.036980,-0.036980,0.079787
rev_nlo,8604.T,2023-07-20,0.323534,high,Q1,0.027500,0.037322,-0.002857,0.104398,0,0,0,0.104398,0.104398,0.104398
